国家,产假长度,可获得的工资
Afghanistan,12.857,100
Albania,52.143,65
Algeria,14,100
Andora,16,100
Angola,12,100
Antigua and Barbuda,13,130
Argentina,12.857,100
Armenia,20,100
Australia,18,
Austria,16,100
Azerbaijan,18,100
Bahamas,12,100
Bahrain,6.429,100
Bangladesh,16,100
Barbados,12,100
Belarus,18,100
Belgium,15,79.5
Belize,14,100
Benin,14,100
Bermuda,12,100
Bolivia,12,75
Bosnia & Herzegovina,52.143,75
Botswana,12,50
Brazil,17.143,100
British Virgin Islands,13,67
Brunei Darussalam,9,100
Bulgaria,32.429,90
Burkina Faso,14,100
Burundi,12,100
Cambodia,12.857,50
Cameroon,14,100
Canada,17,55
Cape Verde,8.571,90
Central African Republic,14,50
Chad,14,50
"Channel Islands, Guernsey",18,
"Channel Islands, Jersey",18,
Chile,18,100
China,12.857,100
"China, Hong Kong SAR",10,80
Colombia,14,100
Comoros,14,100
Congo,15,100
Costa Rica,16,100
Cote d'Ivoire,14,100
Croatia,52.143,100
Cuba,18,100
Cyprus,18,75
Czech Republic,28,60
Democratic Republic of the Congo,14,67
Denmark,18,
Djibouti,14,100
Dominica,12,60
Dominican Republic,12,100
Ecuador,12,100
Egypt,12.857,100
El Salvador,12,75
Equatorial Guinea,12,75
Eritrea,8.571,
Estonia,20,100
Ethiopia,12.857,100
Fiji,12,100
Finland,15,70
France,16,100
Gabon,14,100
Gambia,12,100
Germany,14,100
Ghana,12,100
Greece,17,50
Grenada,12,80
Guatemala,12,100
Guinea,14,100
Guinea-Bissau,8.571,100
Guyana,13,70
Haiti,12,100
Honduras,12,100
Hungary,24,70
Iceland,26,80
India,12,100
Indonesia,12,100
Iran (Islamic Republic of),12.857,67
Iraq,8.857,100
Ireland,26,80
Isle of Man,26,90
Israel,14,100
Italy,20,80
Jamaica,8,100
Japan,14,30%
Jordan,10,100
Kazakhstan,18,100
Kenya,12,100
Kiribati,12,25
Kuwait,10,100
Kyrgyzstan,18,100
Lao People's Democratic Republic,12.857,100
Latvia,16,100
Lebanon,7,100
Lesotho,12,
Libyan Arab Jamahiriya,14,75
Liechtenstein,20,80
Lithuania,18,100
Luxembourg,16,100
Madagascar,14,100
Malawi,8,100
Malaysia,8.571,100
Mali,14,100
Malta,14,100
Mauritania,14,100
Mauritius,12,100
Mexico,12,100
Monaco,16,90
Mongolia,17.143,70
Morocco,14,100
Mozambique,8.571,100
Myanmar,12,66
Namibia,12,100
Nepal,7.429,100
Netherlands,16,100
New Zealand,14,100
Nicaragua,12,100
Niger,14,100
Nigeria,12,50
Norway,52,90
Pakistan,12,100
Panama,14,100
Papua New Guinea,6,
Paraguay,12,50
Peru,12.857,100
Philippines,6,100
Poland,16,100
Portugal,20,20
Qatar,50,100
Republic of Korea,7.148,100
Republic of Moldova,18,100
Romania,18,85
Russian Federation,20,100
Rwanda,12,80
Saint Kitts and Nevis,13,65
Saint Lucia,12,65
Saint Vincent and the Grenadines,13,65
San Marino,20,100
Sao Tome and Principe,8.571,100
Saudi Arabia,10,75
Senegal,14,100
Serbia,52.143,100
Seychelles,14,
Singapore,16,100
Slovakia,28,55
Slovenia,15,100
Solomon Islands,12,25
Somalia,14,50
South Africa,16,60
Spain,16,100
Sri Lanka,12,93
Sudan,8,100
Swaziland,12,
Sweden,68.571,80
Switzerland,14,80
Syrian Arab Republic,17.143,100
Tajikistan,20,100
TFYR of Macedonia,36,
Thailand,12.857,100
Togo,14,100
Trinidad and Tobago,13,50
Tunisia,6,67
Turkey,16,67
Turkmenistan,16,100
Uganda,8.571,100
Ukraine,18,100
United Arab Emirates,6.429,50
United Kingdom,52,90
United Republic of Tanzania,12,100
United States of America,12,
Uruguay,12,100
Uzbekistan,18,100
Vanuatu,12,66
Venezuela,18,100
Viet Nam,,100
Yemen,8.571,100
Zambia,12,100
Zimbabwe,14,100
